24 : .0.2.3.1.5.4.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..3,1,1..4,0,1..5,0,0..4,1,0..6,1,1..0,0,1..6,0,0..5,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..5,1,1..6,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
25 : .0.2.3.1.5.6.4 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..5,1,1..6,0,1..5,0,0..4,1,0..
26 : .0.2.3.5.4.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
27 : .0.2.3.5.6.4.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..5,1,1..6,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..3,0,0..2,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..
28 : .0.2.3.6.4.1.5 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..6,1,1..0,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..5,1,1..6,0,1..3,0,0..2,1,0..3,1,1..4,0,1..6,0,0..5,1,0..
29 : .0.2.3.6.4.5.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..5,1,1..6,0,1..3,0,0..2,1,0..3,1,1..4,0,1..6,0,0..5,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..4,0,0..3,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..2,0,0..1,1,0..
30 : .0.2.4.1.5.3.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..6,1,1..0,0,1..6,0,0..5,1,0..3,1,1..4,0,1..2,0,0..1,1,0..5,1,1..6,0,1..3,0,0..2,1,0..4,1,1..5,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
31 : .0.2.4.5.1.6.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..6,0,0..5,1,0..1,1,1..2,0,1..0,0,0..6,1,0..3,1,1..4,0,1..2,0,0..1,1,0..6,1,1..0,0,1..3,0,0..2,1,0..4,1,1..5,0,1..4,0,0..3,1,0..
32 : .0.2.5.1.6.4.3 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..5,0,0..4,1,0..3,1,1..4,0,1..6,0,0..5,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..2,0,0..1,1,0..6,1,1..0,0,1..3,0,0..2,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..
33 : .0.2.5.3.4.1.6 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..4,0,0..3,1,0..4,1,1..5,0,1..2,0,0..1,1,0..6,1,1..0,0,1..6,0,0..5,1,0..3,1,1..4,0,1..3,0,0..2,1,0..5,1,1..6,0,1..1,0,0..0,1,0..2,1,1..3,0,1..5,0,0..4,1,0..1,1,1..2,0,1..0,0,0..6,1,0..
34 : .0.2.5.4.6.3.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..5,1,1..6,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..3,1,1..4,0,1..5,0,0..4,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..6,0,0..5,1,0..4,1,1..5,0,1..2,0,0..1,1,0..
35 : .0.2.5.6.4.3.1 , .0.0.0.0.0.0.0 ; 0,1,1..1,0,1..3,0,0..2,1,0..5,1,1..6,0,1..5,0,0..4,1,0..3,1,1..4,0,1..6,0,0..5,1,0..6,1,1..0,0,1..1,0,0..0,1,0..2,1,1..3,0,1..4,0,0..3,1,0..1,1,1..2,0,1..0,0,0..6,1,0..4,1,1..5,0,1..2,0,0..1,1,0..
